ID,Bureaux,"Region, Pays",City delimitor position,Region delimitor pos,Region,Country,Address
52,"Thales near  Lambersart,  France Nord,  France","Lambersart,  France Nord,  France",11,25,"Lambersart,  France Nord",France,
33,"Thales near  Laval,  Pays de la Loire,  France","Laval,  Pays de la Loire,  France",6,25,"Laval,  Pays de la Loire",France,
53,"Thales near  Lille,  France Nord,  France","Lille,  France Nord,  France",6,20,"Lille,  France Nord",France,
54,"Thales near  Limours,  Région Parisienne,  France","Limours,  Région Parisienne,  France",8,28,"Limours,  Région Parisienne",France,
74,"Thales near  Lyon,  Rhône-Alpes,  France","Lyon,  Rhône-Alpes,  France",5,19,"Lyon,  Rhône-Alpes",France,
675,"Thales near  Maison-Laffite,  Région Parisienne,  France","Maison-Laffite,  Région Parisienne,  France",15,35,"Maison-Laffite,  Région Parisienne",France,
55,"Thales near  Malakoff,  Région Parisienne,  France","Malakoff,  Région Parisienne,  France",9,29,"Malakoff,  Région Parisienne",France,
56,"Thales near  Massy,  Région Parisienne,  France","Massy,  Région Parisienne,  France",6,26,"Massy,  Région Parisienne",France,
57,"Thales near  Méru,  Région Parisienne,  France","Méru,  Région Parisienne,  France",5,25,"Méru,  Région Parisienne",France,
58,"Thales near  Meudon la Forêt,  Région Parisienne,  France","Meudon la Forêt,  Région Parisienne,  France",16,36,"Meudon la Forêt,  Région Parisienne",France,
75,"Thales near  Moirans,  Rhône-Alpes,  France","Moirans,  Rhône-Alpes,  France",8,22,"Moirans,  Rhône-Alpes",France,
124,"Thales near  Montpellier,  France Sud Est,  France","Montpellier,  France Sud Est,  France",12,29,"Montpellier,  France Sud Est",France,
59,"Thales near  Montrouge,  Région Parisienne,  France","Montrouge,  Région Parisienne,  France",10,30,"Montrouge,  Région Parisienne",France,
82,"Thales near  Nantes,  Pays de la Loire,  France","Nantes,  Pays de la Loire,  France",7,26,"Nantes,  Pays de la Loire",France,
60,"Thales near  Neuilly,  Région Parisienne,  France","Neuilly,  Région Parisienne,  France",8,28,"Neuilly,  Région Parisienne",France,"45 rue de Villiers, 92526 Neuilly-sur-Seine Cedex, France"
