name,description,timestamp,begin,_end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,bureaux,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,"<div class=""googft-info-window"">
<b>ID:</b> 222<br>
<b>Bureaux:</b> Thales near  Luchthaven Schiphol,  North Holland,  Netherlands
</div>",,,,,,,-1,,,222,"Thales near  Luchthaven Schiphol,  North Holland,  Netherlands",,154,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 675<br>
<b>Bureaux:</b> Thales near  Maison-Laffite,  Région Parisienne,  France
</div>",,,,,,,-1,,,675,"Thales near  Maison-Laffite,  Région Parisienne,  France",,157,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 564<br>
<b>Bureaux:</b> Thales near  Managalore ,  Victoria,  Australia
</div>",,,,,,,-1,,,564,"Thales near  Managalore ,  Victoria,  Australia",,160,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 565<br>
<b>Bureaux:</b> Thales near  Mascot ,  New South Wales,  Australia
</div>",,,,,,,-1,,,565,"Thales near  Mascot ,  New South Wales,  Australia",,162,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 56<br>
<b>Bureaux:</b> Thales near  Massy,  Région Parisienne,  France
</div>",,,,,,,-1,,,56,"Thales near  Massy,  Région Parisienne,  France",,163,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 57<br>
<b>Bureaux:</b> Thales near  Méru,  Région Parisienne,  France
</div>",,,,,,,-1,,,57,"Thales near  Méru,  Région Parisienne,  France",,165,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 58<br>
<b>Bureaux:</b> Thales near  Meudon la Forêt,  Région Parisienne,  France
</div>",,,,,,,-1,,,58,"Thales near  Meudon la Forêt,  Région Parisienne,  France",,166,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 75<br>
<b>Bureaux:</b> Thales near  Moirans,  Rhône-Alpes,  France
</div>",,,,,,,-1,,,75,"Thales near  Moirans,  Rhône-Alpes,  France",,172,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 567<br>
<b>Bureaux:</b> Thales near  Mulwala ,  New South Wales,  Australia
</div>",,,,,,,-1,,,567,"Thales near  Mulwala ,  New South Wales,  Australia",,177,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 570<br>
<b>Bureaux:</b> Thales near  North Ryde,  New South Wales,  Australia
</div>",,,,,,,-1,,,570,"Thales near  North Ryde,  New South Wales,  Australia",,187,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 91<br>
<b>Bureaux:</b> Thales near  Northampton,  Midlands,  United Kingdom
</div>",,,,,,,-1,,,91,"Thales near  Northampton,  Midlands,  United Kingdom",,188,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 86<br>
<b>Bureaux:</b> Thales near  Norwich,  East Midlands,  United Kingdom
</div>",,,,,,,-1,,,86,"Thales near  Norwich,  East Midlands,  United Kingdom",,189,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
